--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
D/LocationManagerService(  584): _requestLocationUpdates: provider = network listener = Receiver{43138888 Listener android.os.BinderProxy@4309aec0}mUpdateRecords: {network=UpdateRecord{43094848 mProvider: network mUid: 10014}}
D/PowerManagerService(  584): acquireWakeLock(42da4910): PARTIAL_WAKE_LOCK , tag=NetworkLocationLocator, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/WifiService(  584): acquireWifiLockLocked: WifiLock{NetworkLocationLocator type=2 binder=android.os.BinderProxy@42e5f4c8}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): acquireWakeLock(43114878): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(43114878): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative send RSSIChange intent, SameSignalLevelCount =1
D/WIFI_ICON(  840): updateWifiState: action=android.net.wifi.RSSI_CHANGED newRssi=-42 freq=2412 newLevel=3 lastWifiLevel=3
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/PowerManagerService(  584): acquireWakeLock(42d92138): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42d92138): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43134900): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(43134900): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431df178): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(431df178): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
D/WifiService(  584): releaseWifiLockLocked: WifiLock{NetworkLocationLocator type=2 binder=android.os.BinderProxy@42e5f4c8}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): releaseWakeLock(42da4910): PARTIAL_WAKE_LOCK , tag=NetworkLocationLocator, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(433d1e08): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/LocationManagerService(  584): In handleLocationChangedLocked.For provider: network
D/QMI_FW  (  584): QCCI: QMI_CCI_TX: cntl_flag - 00, txn_id - 0030, msg_id - 0039, msg_len - 0021
D/QMI_FW  (  584): QCCI: Sent[254]: 40 bytes to port 2816
D/PowerManagerService(  584): releaseWakeLock(433d1e08): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1
D/QMI_FW  (  584): QCCI: reader_thread: Received 14 bytes from 254
D/QMI_FW  (  584): QCCI: QMI_CCI_RX: cntl_flag - 02, txn_id - 0030, msg_id - 0039, msg_len - 0007
D/QMI_FW  (  584): QCCI: reader_thread: Received 14 bytes from 254
D/QMI_FW  (  584): QCCI: QMI_CCI_RX: cntl_flag - 04, txn_id - 0000, msg_id - 0039, msg_len - 0007
D/PowerManagerService(  584): acquireWakeLock(42c72090): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/LocationManagerService(  584): In handleLocationChangedLocked.For provider: passive
D/PowerManagerService(  584): releaseWakeLock(42c72090): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42e0d968): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42e0d968): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4310ade8): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(4310ade8): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42e289e8): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42e289e8): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/TELEPHONY_CALLBACK(  840): @onServiceStateChanged: 0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=UMTS HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=6
D/SIGNAL_ICON(  840): asu=6
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=6 networkType=UMTS
D/SIGNAL_ICON(  840): return iconLevel=2
D/DATA_ICON(  840): updateDataNetType: networkType=UMTS
D/DATA_ICON(  840): updateDataIcon
D/DATA_ICON(  840): NOP
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/PowerManagerService(  584): acquireWakeLock(43342418): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/MobileDataStateTracker(  584): default: Broadcast received: ignore android.intent.action.SERVICE_STATE
I/TelephonyRegistry(  584): notifyDataConnection: state=0 isDataConnectivityPossible=true reason='nwTypeChanged' apn='null' apnType=default networkType=10 roaming=false errorCause=0preConn = []
D/TELEPHONY_CALLBACK(  840): @onDataConnectionStateChanged: dataState=0 networkType=HSPA
D/MobileDataStateTracker(  584): mms: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/DATA_ICON(  840): updateDataNetType: networkType=HSPA
D/DATA_ICON(  840): updateDataIcon
D/PowerManagerService(  584): acquireWakeLock(43258710): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/MobileDataStateTracker(  584): supl: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/DATA_ICON(  840): NOP
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/MobileDataStateTracker(  584): dun: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): hipri: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): fota: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/PowerManagerService(  584): releaseWakeLock(43258710): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43245be8): PARTIAL_WAKE_LOCK , tag=SWITCH_NETWORK_MODE_WAKE_LOCK, flags=0x1, pid=917, uid=10014, mUserState=0x3
D/MobileDataStateTracker(  584): ims: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/PowerManagerService(  584): releaseWakeLock(43342418): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
D/MobileDataStateTracker(  584): null: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): httpproxy: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): admin: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): internet: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/PowerManagerService(  584): acquireWakeLock(42c631c8): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/MobileDataStateTracker(  584): null: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): cmmail: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): null: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): cmail: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/PowerManagerService(  584): releaseWakeLock(42c631c8): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/MobileDataStateTracker(  584): entitle: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): null: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): bip: Broadcast received: ignore android.intent.action.SERVICE_STATE
D/MobileDataStateTracker(  584): default: Broadcast received: ACTION_ANY_DATA_CONNECTION_STATE_CHANGED mApnType=default == received apnType=default
D/MobileDataStateTracker(  584): default: Received state=DISCONNECTED, old=DISCONNECTED, reason=nwTypeChanged
D/MobileDataStateTracker(  584): default: mMobileDataState=DISCONNECTED mTeardownRequested=true got [AnyDataCSC] : type=default state=DISCONNECTED reason=nwTypeChanged apn=null roaming=false unavailable=false NetworkType=10 NetworkTypeName=HSPA entitleError=0
D/PowerManagerService(  584): releaseWakeLock(43245be8): PARTIAL_WAKE_LOCK , tag=SWITCH_NETWORK_MODE_WAKE_LOCK, flags=0x1
W/CpuWake (  584): >>nativeAcquireCpuPerfWakeLock()
W/CpuWake (  584): <<nativeAcquireCpuPerfWakeLock()
I/ActivityManager(  584): START {flg=0x10c00000 cmp=com.android.systemui/.recent.RecentAppFxActivity u=0} from pid 840
D/PowerManagerService(  584): acquireWakeLock(432b5da8): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/InputMethodManagerService(  584): unbindCurrentInputLocked: client = android.os.BinderProxy@431374e0
I/InputMethodManagerService(  584): Disable input method client.
V/InputMethodManagerService(  584): switching to client: client = android.os.BinderProxy@42fb1690
I/InputMethodManagerService(  584): Enable input method client.
D/TELEPHONY_CALLBACK(  840): @onSignalStrengthChanged: SignalStrength: 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 2147483647 -1 gsm|lte
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=6
D/SIGNAL_ICON(  840): asu=6
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=6 networkType=HSPA
D/SIGNAL_ICON(  840): return iconLevel=2
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/PowerManagerService(  584): releaseWakeLock(432b5da8): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative send RSSIChange intent, SameSignalLevelCount =2
D/WIFI_ICON(  840): updateWifiState: action=android.net.wifi.RSSI_CHANGED newRssi=-42 freq=2412 newLevel=3 lastWifiLevel=3
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/PowerManagerService(  584): acquireWakeLock(433e7040): CPU_MIN_NUM , tag=mode10, flags=0x400, pid=840, uid=10216, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(433b6668): CPU_MIN_FREQ , tag=mode10, flags=0x100, pid=840, uid=10216, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(433e7040): CPU_MIN_NUM , tag=mode10, flags=0x400
D/PowerManagerService(  584): releaseWakeLock(433b6668): CPU_MIN_FREQ , tag=mode10, flags=0x100
D/PowerManagerService(  584): acquireWakeLock(432761f8): CPU_MIN_NUM , tag=mode10, flags=0x400, pid=840, uid=10216, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(43239b00): CPU_MIN_FREQ , tag=mode10, flags=0x100, pid=840, uid=10216, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(432761f8): CPU_MIN_NUM , tag=mode10, flags=0x400
D/PowerManagerService(  584): releaseWakeLock(43239b00): CPU_MIN_FREQ , tag=mode10, flags=0x100
D/TELEPHONY_CALLBACK(  840): @onSignalStrengthChanged: SignalStrength: 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 2147483647 -1 gsm|lte
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=6
D/SIGNAL_ICON(  840): asu=6
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=6 networkType=HSPA
D/SIGNAL_ICON(  840): return iconLevel=2
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/PowerManagerService(  584): acquireWakeLock(431eec08): CPU_MIN_NUM , tag=mode10, flags=0x400, pid=840, uid=10216, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(431ee3e0): CPU_MIN_FREQ , tag=mode10, flags=0x100, pid=840, uid=10216, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(431eec08): CPU_MIN_NUM , tag=mode10, flags=0x400
D/PowerManagerService(  584): releaseWakeLock(431ee3e0): CPU_MIN_FREQ , tag=mode10, flags=0x100
D/PowerManagerService(  584): acquireWakeLock(43005d90): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
I/ActivityManager(  584): Start proc com.rhmsoft.fm for activity com.rhmsoft.fm/.FileManager: pid=12613 uid=10220 gids={3003, 1015, 1028}
I/ActivityManager(  584): Recipient 11574
I/ActivityManager(  584): Process com.android.settings (pid 11574) has died.
V/InputMethodManagerService(  584): unbindCurrentInputLocked: client = android.os.BinderProxy@42fb1690
I/InputMethodManagerService(  584): Disable input method client.
V/InputMethodManagerService(  584): switching to client: client = android.os.BinderProxy@42c2fa90
I/InputMethodManagerService(  584): Enable input method client.
I/ActivityManager(  584): Recipient 11960
I/ActivityManager(  584): Process com.rhmsoft.fm:crash.feedback (pid 11960) has died.
D/PowerManagerService(  584): releaseWakeLock(43005d90): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1
W/PowerManagerService(  584): Can not get flags by lock
D/PowerManagerService(  584): acquireWakeLock(42b78be8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/AlarmManager(  584): sending alarm PendingIntent{430152a8: PendingIntentRecord{430a21e0 com.android.phone broadcastIntent}}, intent=com.android.internal.telephony.gprs-data-stall, type=ELAPSED_REALTIME, count=1, when=5702298, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(42b78be8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42bb2fd8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427235120000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(42bb2fd8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4309ade0): CPU_MIN_FREQ , tag=AbsListViewScroll_5.0, flags=0x100, pid=12613, uid=10220, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(4303cd88): CPU_MIN_NUM , tag=AbsListViewScroll_5.0, flags=0x400, pid=12613, uid=10220, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(4309ade0): CPU_MIN_FREQ , tag=AbsListViewScroll_5.0, flags=0x100
D/PowerManagerService(  584): releaseWakeLock(4303cd88): CPU_MIN_NUM , tag=AbsListViewScroll_5.0, flags=0x400
D/PowerManagerService(  584): acquireWakeLock(430754a0): CPU_MIN_FREQ , tag=AbsListViewScroll_5.0, flags=0x100, pid=12613, uid=10220, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(43014438): CPU_MIN_NUM , tag=AbsListViewScroll_5.0, flags=0x400, pid=12613, uid=10220, mUserState=0x3
W/PackageParser(12613): No actions in intent filter at /storage/sdcard0/Download/GiftMe-release.apk Binary XML file line #33
D/PowerManagerService(  584): releaseWakeLock(430754a0): CPU_MIN_FREQ , tag=AbsListViewScroll_5.0, flags=0x100
D/PowerManagerService(  584): releaseWakeLock(43014438): CPU_MIN_NUM , tag=AbsListViewScroll_5.0, flags=0x400
D/TELEPHONY_CALLBACK(  840): @onSignalStrengthChanged: SignalStrength: 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 2147483647 -1 gsm|lte
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=6
D/SIGNAL_ICON(  840): asu=6
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=6 networkType=HSPA
D/SIGNAL_ICON(  840): return iconLevel=2
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
W/CpuWake (  584): >>nativeAcquireCpuPerfWakeLock()
W/CpuWake (  584): <<nativeAcquireCpuPerfWakeLock()
I/ActivityManager(  584): START {act=android.intent.action.VIEW cat=[android.intent.category.DEFAULT] dat=file typ=application/vnd.android.package-archive flg=0x10000 cmp=android/com.android.internal.app.ResolverActivity u=0} from pid 12613
D/PowerManagerService(  584): acquireWakeLock(42bc8b60): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42bc8b60): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
D/PowerManagerService(  584): acquireWakeLock(430514b8): CPU_MIN_FREQ , tag=AbsListViewScroll_5.0, flags=0x100, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(42fdeaa0): CPU_MIN_NUM , tag=AbsListViewScroll_5.0, flags=0x400, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(430514b8): CPU_MIN_FREQ , tag=AbsListViewScroll_5.0, flags=0x100
D/PowerManagerService(  584): releaseWakeLock(42fdeaa0): CPU_MIN_NUM , tag=AbsListViewScroll_5.0, flags=0x400
W/CpuWake (  584): >>nativeAcquireCpuPerfWakeLock()
W/CpuWake (  584): <<nativeAcquireCpuPerfWakeLock()
I/ActivityManager(  584): START {act=android.intent.action.VIEW cat=[android.intent.category.DEFAULT] dat=file typ=application/vnd.android.package-archive flg=0x3010000 cmp=com.android.vending/com.google.android.vending.verifier.PackageVerificationActivity u=0} from pid 584
D/PowerManagerService(  584): acquireWakeLock(42f6fe50): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
W/PackageParser(12147): No actions in intent filter at /storage/sdcard0/Download/GiftMe-release.apk Binary XML file line #33
W/InputMethodManagerService(  584): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4312ecd8 attribute=null
D/PowerManagerService(  584): releaseWakeLock(42f6fe50): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42ceddc8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/AlarmManager(  584): sending alarm PendingIntent{428c2578: PendingIntentRecord{42bd3198 com.google.android.location broadcastIntent}}, intent=com.google.android.location.nlp.ALARM_WAKEUP_LOCATOR, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5712517, repeateInterval=0
D/PowerManagerService(  584): acquireWakeLock(42fe4b08): PARTIAL_WAKE_LOCK , tag=NetworkLocationCallbackRunner, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42ceddc8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431d5ca0): PARTIAL_WAKE_LOCK , tag=NetworkLocationLocator, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/WifiService(  584): acquireWifiLockLocked: WifiLock{NetworkLocationLocator type=2 binder=android.os.BinderProxy@431c3ca0}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): releaseWakeLock(42fe4b08): PARTIAL_WAKE_LOCK , tag=NetworkLocationCallbackRunner, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42d2d0b0): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42d2d0b0): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/WifiService(  584): releaseWifiLockLocked: WifiLock{NetworkLocationLocator type=2 binder=android.os.BinderProxy@431c3ca0}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): releaseWakeLock(431d5ca0): PARTIAL_WAKE_LOCK , tag=NetworkLocationLocator, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42e28320): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/LocationManagerService(  584): In handleLocationChangedLocked.For provider: network
D/QMI_FW  (  584): QCCI: QMI_CCI_TX: cntl_flag - 00, txn_id - 0031, msg_id - 0039, msg_len - 0021
D/QMI_FW  (  584): QCCI: Sent[254]: 40 bytes to port 2816
D/PowerManagerService(  584): releaseWakeLock(42e28320): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4318aa80): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(4318aa80): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
V/LocationManagerService(  584): In handleLocationChangedLocked.For provider: passive
D/PowerManagerService(  584): acquireWakeLock(43439fc8): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/QMI_FW  (  584): QCCI: reader_thread: Received 14 bytes from 254
D/QMI_FW  (  584): QCCI: QMI_CCI_RX: cntl_flag - 02, txn_id - 0031, msg_id - 0039, msg_len - 0007
D/QMI_FW  (  584): QCCI: reader_thread: Received 14 bytes from 254
D/QMI_FW  (  584): QCCI: QMI_CCI_RX: cntl_flag - 04, txn_id - 0000, msg_id - 0039, msg_len - 0007
D/PowerManagerService(  584): releaseWakeLock(43439fc8): PARTIAL_WAKE_LOCK , tag=LocationManagerService, flags=0x1
W/CpuWake (  584): >>nativeAcquireCpuPerfWakeLock()
W/CpuWake (  584): <<nativeAcquireCpuPerfWakeLock()
